Answers_ID,value,label,explanation
FAO_AID:P10T3R,AR,Aridic,"In the aridic (torric) moisture regime, the moisture control section in normal years is both: dry in all parts for more than half on the cumulative days per year when the soil temperature at a depth of 50 cm from the soil surface is above 5 °C; moist in some or all parts for less than 90 consecutive days when the soil temperature at a depth of 50 cm is above 8 °C."
FAO_AID:P10T3R,TO,Torric,"Torric (Latin torridus, hot and dry). Soils that have an aridic (torric) moisture regime normally occur in areas of arid climates. A few are in areas of semi-arid climates and either have physical properties that keep them dry, such as a crusty surface that virtually precludes the infiltration of water, or are on steep slopes where runoff is high. There is little or no leaching in this moisture regime, and soluble salts accumulate in the soils if there is a source."
FAO_AID:P10T3L,PG,Pergelic,Gelisols and Gelic suborders and great groups that have a mean annual soil temperature from -4 °C to -10 °C.
FAO_AID:P10T3L,CR,Cryic,"Soils in this temperature regime have a mean annual temperature lower than 8 °C but do not have permafrost (Gr. kryos, coldness; meaning very cold soils)"
FAO_AID:P10T3L,FR,Frigid,"A soil with a frigid temperature regime is warmer in summer than a soil with a cryic regime, but its mean annual temperature is lower than 8 °C and the difference between mean summer (June, July, and August) and mean winter (December, January, and February) soil temperatures is more than 6 °C either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,IF,Isofrigid,"The mean annual soil temperature is lower than 8 °C. The mean summer and mean winter soil temperatures differ by less than 6 °C at a depth of 50 cm or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,ME,Mesic,"The mean annual soil temperature is 8 °C or higher but lower than 15 °C, and the difference between mean summer and mean winter soil temperatures is more than 6 °C either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,IM,Isomesic,"The mean annual soil temperature is 8 °C or higher but lower than 15 °C. The mean summer and mean winter soil temperatures differ by less than 6 °C at a depth of 50 cm or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,TH,Thermic,"The mean annual soil temperature is 15 °C or higher but lower than 22 °C, and the difference between mean summer and mean winter soil temperatures is more than 6 °C either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,IT,Isothermic,"The mean annual soil temperature is 15 °C or higher but lower than 22 °C. The mean summer and mean winter soil temperatures differ by less than 6 °C at a depth of 50 cm or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,HT,Hyperthermic,"The mean annual soil temperature is 22 °C or higher, and the difference between mean summer and mean winter soil temperatures is more than 6 °C either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,IH,Isohyperthermic,"The mean annual soil temperature is 22 °C or higher. The mean summer and mean winter soil temperatures differ by less than 6 °C at a depth of 50 cm or at a densic, lithic, or paralithic contact, whichever is shallower."
FAO_AID:P10T3L,HG,Hypergelic,Gelisols and Gelic suborders and great groups that have a mean annual soil temperature of -10 °C or lower.
FAO_AID:P10T3L,SG,Subgelic,Gelisols and Gelic suborders and great groups that have a mean annual soil temperature from +1 °C to -4 °C.
FAO_AID:P9T2U,SU,sunny/clear,
FAO_AID:P9T2U,PC,partly cloudy,
FAO_AID:P9T2U,OV,overcast,
FAO_AID:P9T2U,RA,rain,
FAO_AID:P9T2U,SL,sleet,
FAO_AID:P9T2U,SN,snow,
FAO_AID:P9T2L,WC 1,no rain in the last month,
FAO_AID:P9T2L,WC 2,no rain in the last week,
FAO_AID:P9T2L,WC 3,no rain in the last 24 hours,
FAO_AID:P9T2L,WC 4,rainy without heavy rain in the last 24 hours,
FAO_AID:P9T2L,WC 5,heavier rain for some days or rainstorms in the last 24 hours,
FAO_AID:P9T2L,WC 6,extremely rainy time or snow melting,
FAO_AID:P11T4,LP,"Plain (gradient < 8%, relief intensity < 100 m/km)","Plains are all level lands that are not enclosed between higher lying lands, that do not protrude above the surrounding country, or that do not rise gently against land with a considerable steeper slope. 2nd level landform."
FAO_AID:P11T4,LL,"Plateau (gradient < 8%, relief intensity < 100 m/km)","Plateaux are level lands that are, compared with the surrounding landscapes, situated at relatively elevated positions. Plateau can be very extensive, but must always on at least one side be bounded by a slope or escarpment (8% ore more), connecting it with lower lying land. Many so-called plateaux are in fact elevated plains, and should be classified as such. 2nd level landform."
FAO_AID:P11T4,CD,Major depression (gradient > 8%),"A large tract of level land, surrounded on all sides by high, rising sloping or steep land, is characterized as a major depression. Uvalas are typical for this group. 2nd level landform."
FAO_AID:P11T4,LD,"Depression (gradient < 8%, relief intensity < 100 m/km)",A depression is an area of level land that is on all sides surrounded by higher lying level or sloping land. The area occupied by the band of sloping land that forms the transition from the higher ground to the floor of the depression is small compared to the area within the depression taken up by level land. 2nd level landform.
FAO_AID:P11T4,LF,"Low-gradient footslope (gradient < 8%, relief intensity < 100 m/km)","Steadily rising level land, abutting strongly sloping or steep lands, are classified as low level footslopes. They merge into other types of level land, including low gradient footslopes that rise in an opposite direction. Pediments, (coalescing) alluvial fans and other similar landforms can all be considered low level footslopes. Footslopes with a higher gradient than 8% are accommodated under hills, as such slopes are usually incised to the extent that they take a hilly character. 2nd level landform."
FAO_AID:P11T4,LV,"Valley floor (gradient < 8%, relief intensity < 100 m/km)","Elongated strips of level land, on both sides flanked by areas with sloping or steep land, constitute valley floors. Valley floors normally taper off at one end, where they are embraced by steeper land on three sides. They may connect with other types of level land or sloping land at the other end. In mountainous areas valley floors can be surrounded on all sides by steep lands, and do not necessarily have to be elongated. 2nd level landform."
FAO_AID:P11T4,SM,"Medium-gradient mountain (gradient 15-30%, relief intensity > 600 m/2 km)","Relatively gently sloping (15-30% gradient) mountains with a local relief intensity of more than 600 m. Many volcanoes will fall into this category, as do several foothill zones of major mountain systems. 2nd level landform."
FAO_AID:P11T4,SH,"Medium-gradient hill (gradient 8-30%, relief intensity > 50 m/slope unit)","All sloping land with an undulating relief (minimum relief intensity 50 m per slope unit), not elongated, or more than 600 m high, or incorporated in mountainous terrain, are considered hills. This group does not only include hilly landforms, but also accommodates other landforms such as medium-gradient footslopes, etc. 2nd level landform."
FAO_AID:P11T4,SE,"Medium-gradient escarpment zone (gradient 15-30%, relief intensity < 600 m/2 km)",Relatively gently sloping (usually 15-30% gradient) zone that forms a transition between high and low lying country. The local relief intensity of this landform is normally less than 600 m/2 km. 2nd level landform.
FAO_AID:P11T4,SR,"Ridges (gradient 8-30%, relief intensity > 50 m/slope unit)","A ridge meets all the qualifications of medium-gradient hills, but has an elongated shape with a single crest, which may have a more or less constant elevation, or may contain a number of peaks. Relatively narrow plateaus are excluded from this landform group. 2nd level landform."
FAO_AID:P11T4,SU,"Mountainous highland (gradient 15-30%, relief intensity > 600 m/2 km)","Land which, although forming part of a mountain range (slopes of more than 30% and relief intensities in excess of 600 m per 2 km), constitute a restricted zone with less steep slopes and subdued relief. Mountainous highland always forms part of a mountain system, and is thus on at least at one side bounded by high-gradient mountains. Hypsometric subdivision of this category is according to the qualifiers for steep lands. 2nd level landform."
FAO_AID:P11T4,SP,"Dissected plain (gradient 8-30%, relief intensity < 50 m/slope unit)","Sloping land with a more or less constant crest level, and relief intensities of less than 50 m per slope unit. 2nd level landform."
FAO_AID:P11T4,TM,"High-gradient mountain (gradient > 30%, relief intensity > 600 m/2 km)","All steep land with a relief intensity of more than 600 m per 2 km, and surrounding one or more outstanding peaks. 2nd level landform."
FAO_AID:P11T4,TH,"High-gradient hill (gradient > 30%, relief intensity < 600 m/2 km)","Steep but low relief land (relief intensity of less than 600 m per 2 km). Badlands would be a landform taken care of by this group, which is hypsometrically subdivided according to the qualifiers for sloping land. 2nd level landform."
FAO_AID:P11T4,TE,"High-gradient escarpment zone (gradient > 30%, relief intensity > 600 m/2 km)",Steep land that forms the transition between high and low lying country and lacks outstanding peaks. The relief intensity is normally more than 600 m per 2 km. 2nd level landform.
FAO_AID:P11T4,TV,High-gradient valleys (gradient > 30%),"Very steep valleys, with normally very little valley floor. No height limit is given, as the lack of valley floor and the presence of steep slopes ensure that only deep valleys will cover sufficient area to produce mappable delineations. Mostly incised elevated sedimentary plateaux. 2nd level landform."
FAO_AID:P11T4,CV,Valley (gradient > 8%),"The valley, made up of sideslopes and a valley bottom, is taken as one landform. 2nd level landform."
FAO_AID:P11T4,CL,Narrow plateau (gradient > 8%),A narrow strip of level land surrounded on all sides by sloping or steep falling land form together a narrow plateau. 2nd level landform.
FAO_AID:P10B,IF,Interfluve,
FAO_AID:P10B,VA,Valley,
FAO_AID:P10B,VF,Valley floor,
FAO_AID:P10B,CH,Channel,
FAO_AID:P10B,LE,Levee,
FAO_AID:P10B,TE,Terrace,
FAO_AID:P10B,FP,Floodplain,
FAO_AID:P10B,LA,Lagoon,
FAO_AID:P10B,PA,Pan,
FAO_AID:P10B,CO,Coral reef,
FAO_AID:P10B,CA,Caldera,
FAO_AID:P10B,DE,Depression,
FAO_AID:P10B,DU,Dune,
FAO_AID:P10B,LD,Longitudinal dune,
FAO_AID:P10B,ID,Interdunal depression,
FAO_AID:P10B,SL,Slope,
FAO_AID:P10B,RI,Ridge,
FAO_AID:P10B,BR,Beachridge,
FAO_AID:P11F2,CR,Crest (summit) in undulating to mountainous terrain,
FAO_AID:P11F2,UP,Upper slope (shoulder) in undulating to mountainous terrain,
FAO_AID:P11F2,MS,Middle slope (back slope) in undulating to mountainous terrain,
FAO_AID:P11F2,LS,Lower slope (foot slope) in undulating to mountainous terrain,
FAO_AID:P11F2,TS,Toe slope in undulating to mountainous terrain,
FAO_AID:P11F2,HI,Higher part (rise) in flat or almost flat terrain,
FAO_AID:P11F2,IN,Intermediate part (talf) in flat or almost flat terrain,
FAO_AID:P11F2,LO,lower part (and dip) in flat or almost flat terrain,
FAO_AID:P11F2,BO,Bottom (drainage line) in flat or almost flat terrain,
FAO_AID:P11F2,BM,Bottom (flat) in undulating to mountainous terrain,
FAO_AID:P12T6,S,Straight,
FAO_AID:P12T6,C,Concave,
FAO_AID:P12T6,V,Convex,
FAO_AID:P12T6,T,Terraced,
FAO_AID:P12T6,X,Complex (Irregular),
FAO_AID:P14T8,AT,Tree and shrub cropping,
FAO_AID:P14T8,U,Not used and not managed,
FAO_AID:P14T8,A,Crop agriculture (cropping),
FAO_AID:P14T8,AA,Annual field cropping,
FAO_AID:P14T8,AA1,Shifting cultivation,
FAO_AID:P14T8,AA2,Fallow system cultivation,
FAO_AID:P14T8,AA3,Ley system cultivation,
FAO_AID:P14T8,AA4,Rainfed arable cultivation,
FAO_AID:P14T8,AA5,Wet rice cultivation,
FAO_AID:P14T8,AA6,Irrigated cultivation,
FAO_AID:P14T8,AP,Perennial field cropping,
FAO_AID:P14T8,AP1,Non-irrigated cultivation,
FAO_AID:P14T8,AP2,Irrigated cultivation,
FAO_AID:P14T8,AT1,Non-irrigated tree crop cultivation,
FAO_AID:P14T8,AT2,Irrigated tree crop cultivation,
FAO_AID:P14T8,AT3,Non-irrigated shrub crop cultivation,
FAO_AID:P14T8,AT4,Irrigated shrub crop cultivation,
FAO_AID:P14T8,AA4T,Traditional rainfed arable cultivation,
FAO_AID:P14T8,AA4I,Improved traditional rainfed arable cultivation,
FAO_AID:P14T8,AA4M,Mechanized traditional rainfed arable cultivation,
FAO_AID:P14T8,AA4C,Commercial rainfed arable cultivation,
FAO_AID:P14T8,AA4U,Unspecified rainfed arable cultivation,
FAO_AID:P14T8,M,Mixed farming,
FAO_AID:P14T8,MF,Agroforestry,
FAO_AID:P14T8,MP,Agropastoralism,
FAO_AID:P14T8,H,Animal husbandry,
FAO_AID:P14T8,HE,Extensive grazing,
FAO_AID:P14T8,HE1,Nomadism,
FAO_AID:P14T8,HE2,Semi-nomadism,
FAO_AID:P14T8,HE3,Ranching,
FAO_AID:P14T8,HI,Intensive grazing,
FAO_AID:P14T8,HI1,Animal production,
FAO_AID:P14T8,HI2,Dairying,
FAO_AID:P14T8,F,Forestry,
FAO_AID:P14T8,FN,Natural forest and woodland,
FAO_AID:P14T8,FN1,Selective felling,
FAO_AID:P14T8,FN2,Clear felling,
FAO_AID:P14T8,FP,Plantation forestry,
FAO_AID:P14T8,P,Nature protection,
FAO_AID:P14T8,PN,Nature and game preservation,
FAO_AID:P14T8,PN1,Reserves,
FAO_AID:P14T8,PN2,Parks,
FAO_AID:P14T8,PN3,Wildlife management,
FAO_AID:P14T8,PD,Degradation control,
FAO_AID:P14T8,PD1,Without interference,
FAO_AID:P14T8,PD2,With interference,
FAO_AID:P14T8,S,"Settlement, industry",
FAO_AID:P14T8,SR,Residential use,
FAO_AID:P14T8,SI,Industrial use,
FAO_AID:P14T8,ST,Transport,
FAO_AID:P14T8,SC,Recreational use,
FAO_AID:P14T8,SX,Excavations,
FAO_AID:P14T8,SD,Disposal sites,
FAO_AID:P14T8,Y,Military area,
FAO_AID:P14T8,O,Other land uses,
FAO_AID:P15T9,FrMe,Melons,
FAO_AID:P15T9,Ce,Cereals,
FAO_AID:P15T9,CeBa,Barley,
FAO_AID:P15T9,CeMa,Maize (cereal),
FAO_AID:P15T9,CeMi,Millet,
FAO_AID:P15T9,CeOa,Oats,
FAO_AID:P15T9,CePa,"Rice, paddy",
FAO_AID:P15T9,CeRi,"Rice, dry",
FAO_AID:P15T9,CeRy,Rye,
FAO_AID:P15T9,CeSo,Sorghum,
FAO_AID:P15T9,CeWh,Wheat,
FAO_AID:P15T9,Oi,Oilcrops,
FAO_AID:P15T9,OiCc,Coconuts,
FAO_AID:P15T9,OiGr,Groundnuts,
FAO_AID:P15T9,OiLi,Linseed,
FAO_AID:P15T9,OiOl,Olives,
FAO_AID:P15T9,OiOp,Oil-palm,
FAO_AID:P15T9,OiRa,Rape,
FAO_AID:P15T9,OiSe,Sesame,
FAO_AID:P15T9,OiSo,Soybeans,
FAO_AID:P15T9,OiSu,Sunflower,
FAO_AID:P15T9,Fo,Fodder plants,
FAO_AID:P15T9,FoAl,Alfalfa,
FAO_AID:P15T9,FoCl,Clover,
FAO_AID:P15T9,FoGr,Grasses,
FAO_AID:P15T9,FoHa,Hay,
FAO_AID:P15T9,FoLe,Leguminous,
FAO_AID:P15T9,FoMa,Maize (fodder plant),
FAO_AID:P15T9,FoPu,Pumpkins,
FAO_AID:P15T9,Ro,Roots and tubers,
FAO_AID:P15T9,RoCa,Cassava,
FAO_AID:P15T9,RoPo,Potatoes,
FAO_AID:P15T9,RoSu,Sugar beets,
FAO_AID:P15T9,RoYa,Yams,
FAO_AID:P15T9,Fr,Fruits and melons,
FAO_AID:P15T9,FrAp,Apples,
FAO_AID:P15T9,FrBa,Bananas,
FAO_AID:P15T9,FrCi,Citrus,
FAO_AID:P15T9,FrGr,"Grapes, Wine, Raisins",
FAO_AID:P15T9,FrMa,Mangoes,
FAO_AID:P15T9,Fi,Fibre crops,
FAO_AID:P15T9,FiCo,Cotton,
FAO_AID:P15T9,FiJu,Jute,
FAO_AID:P15T9,Ve,Vegetables,
FAO_AID:P15T9,Pu,Pulses,
FAO_AID:P15T9,PuBe,Beans,
FAO_AID:P15T9,PuLe,Lentils,
FAO_AID:P15T9,PuPe,Peas,
FAO_AID:P15T9,Lu,Semi-luxury foods and tobacco,
FAO_AID:P15T9,LuCc,Cocoa,
FAO_AID:P15T9,LuCo,Coffee,
FAO_AID:P15T9,LuTe,Tea,
FAO_AID:P15T9,LuTo,Tobacco,
FAO_AID:P15T9,Ot,Other crops,
FAO_AID:P15T9,OtSc,Sugar cane,
FAO_AID:P15T9,OtRu,Rubber,
FAO_AID:P15T9,OtPa,"Palm (fibres, kernels)",
FAO_AID:P15T10,N,No influence,
FAO_AID:P15T10,NK,Not known,
FAO_AID:P15T10,VS,Vegetation slightly disturbed,
FAO_AID:P15T10,VM,Vegetation moderately disturbed,
FAO_AID:P15T10,VE,Vegetation strongly disturbed,
FAO_AID:P15T10,VU,Vegetation disturbed (not specified),
FAO_AID:P15T10,IS,Sprinkler irrigation,
FAO_AID:P15T10,IF,Furrow irrigation,
FAO_AID:P15T10,ID,Drip irrigation,
FAO_AID:P15T10,IP,Flood irrigation,
FAO_AID:P15T10,IB,Border irrigation,
FAO_AID:P15T10,IU,Irrigation (not specified),
FAO_AID:P15T10,AD,Artificial drainage,
FAO_AID:P15T10,FE,Application of fertilizers,
FAO_AID:P15T10,LF,Landfill (also sanitary),
FAO_AID:P15T10,LV,Levelling,
FAO_AID:P15T10,AC,"Archaeological (burial mound, midden)",
FAO_AID:P15T10,CR,Impact crater,
FAO_AID:P15T10,BU,Bunding,
FAO_AID:P15T10,BR,Burning,
FAO_AID:P15T10,TE,Terracing,
FAO_AID:P15T10,PL,Ploughing,
FAO_AID:P15T10,MP,Plaggen,
FAO_AID:P15T10,MR,Raised beds (agricultural purposes),
FAO_AID:P15T10,ME,Raised beds (engineering purposes),
FAO_AID:P15T10,MS,Sand additions,
FAO_AID:P15T10,MU,Mineral additions (not specified),
FAO_AID:P15T10,MO,Organic additions (not specified),
FAO_AID:P15T10,PO,Pollution,
FAO_AID:P15T10,CL,Clearing,
FAO_AID:P15T10,SC,Surface compaction,
FAO_AID:P15T10,SA,Scalped area,
FAO_AID:P15T10,BP,Borrow pit,
FAO_AID:P15T10,DU,Dump (not specified),
FAO_AID:P15T10,MI,"Mine (surface, including openpit, gravel and quarries)",
FAO_AID:P16T11,D,Dwarf shrub,
FAO_AID:P16T11,N,No vegetation,
FAO_AID:P16T11,G,"Grassland (grasses, subordinate forbs, no woody species)",
FAO_AID:P16T11,FO,Forbland (herbaceous plants predominant),
FAO_AID:P16T11,SA,Savanna (grasses with a discontinuous layer of trees or shrubs),
FAO_AID:P16T11,F,"Closed forest (continuous tree layer, crowns overlapping, large number of tree and shrub species in distinct layers)",
FAO_AID:P16T11,FE,Evergreen broad-leaved forest,
FAO_AID:P16T11,FC,Coniferous forest,
FAO_AID:P16T11,FS,Semi-deciduous forest,
FAO_AID:P16T11,FD,Deciduous forest,
FAO_AID:P16T11,FX,Xeromorphic forest,
FAO_AID:P16T11,W,"Woodland (continuous tree layer, crowns usually not touching, understorey may be present)",
FAO_AID:P16T11,WE,Evergreen woodland,
FAO_AID:P16T11,WS,Semi-deciduous woodland,
FAO_AID:P16T11,WD,Deciduous woodland,
FAO_AID:P16T11,WX,Xeromorphic woodland,
FAO_AID:P16T11,S,Shrub,
FAO_AID:P16T11,SE,Evergreen shrub,
FAO_AID:P16T11,SS,Semi-deciduous shrub,
FAO_AID:P16T11,SD,Deciduous shrub,
FAO_AID:P16T11,SX,Xeromorphic shrub,
FAO_AID:P16T11,DE,Evergreen dwarf shrub,
FAO_AID:P16T11,DS,Semi-deciduous dwarf shrub,
FAO_AID:P16T11,DD,Deciduous dwarf shrub,
FAO_AID:P16T11,DX,Xeromorphic dwarf shrub,
FAO_AID:P16T11,DT,Tundra,
FAO_AID:P16T11,H,Herbaceous,
FAO_AID:P16T11,HT,Tall grassland,
FAO_AID:P16T11,HM,Medium grassland,
FAO_AID:P16T11,HS,Short grassland,
FAO_AID:P16T11,HF,Forb,
FAO_AID:P16T11,M,Rainwater-fed moor peat,
FAO_AID:P16T11,B,Groundwater-fed bog peat,
FAO_AID:P18T12,I,Igneous rock,
FAO_AID:P18T12,IA,Acid igneous rock,
FAO_AID:P18T12,IA1,Acid igneous rock: diorite,
FAO_AID:P18T12,IA2,Acid igneous rock: grano-diorite,
FAO_AID:P18T12,IA3,Acid igneous rock: quartz-diorite,
FAO_AID:P18T12,IA4,Acid igneous rock: rhyiolite,
FAO_AID:P18T12,II,Intermediate igneous rock,
FAO_AID:P18T12,II1,"Intermediate igneous rock: andesite, trachyte, phonolite",
FAO_AID:P18T12,II2,Intermediate igneous rock: diorite-syenite,
FAO_AID:P18T12,IB,Basic igneous rock,
FAO_AID:P18T12,IB1,Basic igneous rock: gabbro,
FAO_AID:P18T12,IB2,Basic igneous rock: basalt,
FAO_AID:P18T12,IB3,Basic igneous rock: dolerite,
FAO_AID:P18T12,IU,Ultrabasic igneous rock,
FAO_AID:P18T12,IU1,Ultrabasic igneous rock: peridotite,
FAO_AID:P18T12,IU2,Ultrabasic igneous rock: pyroxenite,
FAO_AID:P18T12,IU3,"Ultrabasic igneous rock: ilmenite, magnetite, ironstone, serpentine",
FAO_AID:P18T12,IP,Pyroclastic rock,
FAO_AID:P18T12,IP1,"Pyroclastic rock: tuff, tuffite",
FAO_AID:P18T12,IP2,Pyroclastic rock: volcanic scoria/breccia,
FAO_AID:P18T12,IP3,Pyroclastic rock: volcanic ash,
FAO_AID:P18T12,IP4,Pyroclastic rock: ignimbrite,
FAO_AID:P18T12,M,Metamorphic rock,
FAO_AID:P18T12,MA,Acid metamorphic rock,
FAO_AID:P18T12,MA1,Acid metamorphic rock: quartzite,
FAO_AID:P18T12,MA2,"Acid metamorphic rock: gneiss, migmatite",
FAO_AID:P18T12,MA3,"Acid metamorphic rock: slate, phyllite, (pellitic rocks)",
FAO_AID:P18T12,MA4,Acid metamorphic rock: schist,
FAO_AID:P18T12,MB,Basic metamorphic rock,
FAO_AID:P18T12,MB1,"Basic metamorphic rock: slate, phyllite (pelitic rocks)",
FAO_AID:P18T12,MB2,Basic metamorphic rock: (green) schist,
FAO_AID:P18T12,MB3,Basic metamorphic rock: gneiss rich in ferro-magnesian minerals,
FAO_AID:P18T12,MB4,Basic metamorphic rock: metamorphic limestone (marble),
FAO_AID:P18T12,MB5,Basic metamorphic rock: amphibolite,
FAO_AID:P18T12,MB6,Basic metamorphic rock: eclogite,
FAO_AID:P18T12,MU,Ultrabasic metamorphic rock,
FAO_AID:P18T12,MU1,"Ultrabasic metamorphic rock: serpentinite, greenstone",
FAO_AID:P18T12,S,Sedimentary rock,
FAO_AID:P18T12,SC,Clastic sediments,
FAO_AID:P18T12,SC1,"Clastic sediments: conglomerate, breccia",
FAO_AID:P18T12,SC2,"Clastic sediments: sandstone, greywacke, arkose",
FAO_AID:P18T12,SC3,"Clastic sediments: siltstone, mudstone, claystone",
FAO_AID:P18T12,SC4,Clastic sediments: shale,
FAO_AID:P18T12,SC5,Clastic sediments: ironstone,
FAO_AID:P18T12,SO,Sedimentary organic or carbonatic rock,
FAO_AID:P18T12,SO1,"Sedimentary organic or carbonatic rock: limestone, other carbonate rocks",
FAO_AID:P18T12,SO2,Sedimentary organic or carbonatic rock: marl and other mixtures,
FAO_AID:P18T12,SO3,"Sedimentary organic or carbonatic rock: coals, bitumen and related rocks",
FAO_AID:P18T12,SE,Evaporites,
FAO_AID:P18T12,SE1,"Evaporites: anhydrite, gypsum",
FAO_AID:P18T12,SE2,Evaporites: halite,
FAO_AID:P18T12,U,Unconsolidated rock,
FAO_AID:P18T12,UR,Weathered residuum,
FAO_AID:P18T12,UR1,"Weathered residuum: bauxite, laterite",
FAO_AID:P18T12,UF,Unconsolidated rock: fluvial,
FAO_AID:P18T12,UF1,Unconsolidated fluvial rock: sand and gravel,
FAO_AID:P18T12,UF2,"Unconsolidated fluvial rock: clay, silt and loam",
FAO_AID:P18T12,UL,Unconsolidated rock: lacustrine,
FAO_AID:P18T12,UL1,Unconsolidated lacustrine rock: sand,
FAO_AID:P18T12,UL2,Unconsolidated lacustrine rock: silt and clay,
FAO_AID:P18T12,UM,Unconsolidated rock: marine,
FAO_AID:P18T12,UM1,Unconsolidated marine rock: sand,
FAO_AID:P18T12,UM2,Unconsolidated marine rock: clay and silt,
FAO_AID:P18T12,UC,Unconsolidated rock: colluvial,
FAO_AID:P18T12,UC1,Unconsolidated colluvial rock: slope deposits,
FAO_AID:P18T12,UC2,Unconsolidated colluvial rock: lahar,
FAO_AID:P18T12,UE,Unconsolidated rock: eolian,
FAO_AID:P18T12,UE1,Unconsolidated rock: eolian rock: loess,
FAO_AID:P18T12,UE2,Unconsolidated rock: eolian rock: sand,
FAO_AID:P18T12,UG,Unconsolidated rock: glacial,
FAO_AID:P18T12,UG1,Unconsolidated glacial rock: moraine,
FAO_AID:P18T12,UG2,Unconsolidated glacial rock: glacio-fluvial sands,
FAO_AID:P18T12,UK,Unconsolidated kryogenic rock,
FAO_AID:P18T12,UK1,Unconsolidated kryogenic rock: periglacial rock debris,
FAO_AID:P18T12,UK2,Unconsolidated kryogenic rock: periglacial solifluction layer,
FAO_AID:P18T12,UG3,Unconsolidated glacial rock: glacio-fluvial gravel,
