old_code,new_code,description,country,extent,sample_size,sample_time,access,source,redistribution,license,version_source,version_processed,spectral_range,contact,contact_email,url,relevant_publication_1,relevant_publication_2,relevant_publication_3,map_url
Neospectra,Neospectra,Near-infrared soil spectral library (Neospectra) from selected KSSL samples (USA) and Africa,"USA, Africa",national,"2,000+",,open,DOI,open,CC-BY,second update (v1),"v1.2, v1.3",nir,Jonathan Sanderman,jsanderman@woodwellclimate.org,https://doi.org/10.5281/zenodo.13122321,https://doi.org/10.1016/j.dib.2024.111229,https://doi.org/10.1002/saj2.20678,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/Neospectra/README_files/figure-commonmark/map-1.png
BESB,BESB,Brazilian Soil Spectral Library (BESB),Brazil,national,"15,000+",,open,DOI,open,CC-BY,version v.002,v1.3,"vnir, mir",José A.M. Demattê,jamdemat@usp.br,https://zenodo.org/records/8361419,https://doi.org/10.1016/j.geoderma.2019.05.043,https://doi.org/10.1016/j.geoderma.2022.115776,https://doi.org/10.19047/0136-1694-2024-119-261-305,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/BESB/README_files/figure-commonmark/map-1.png
Hungarian,HSDOS,Soil spectral library from the Hungarian Soil Degradation Observation System (HSDOS),Hungarian,national,"5,000+",,open,DOI,open,CC-BY,version v3,v1.3,vnir,János Mészáros,koos.sandor@atk.hun-ren.hu,https://zenodo.org/records/14610222,https://doi.org/10.1038/s41597-025-04667-9,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/HSDOS/README_files/figure-commonmark/map-1.png
Austrian,AUT,Austrian NIR soil spectral library for soil health assessments (AUT),Austria,national,"2,000+",,open,DOI,open,CC-BY,version v4,v1.3,nir,Julia Fohrafellner,julia.fohrafellner@ages.at,https://zenodo.org/records/17941270,https://doi.org/10.5194/essd-18-219-2026,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/AUT/README_files/figure-commonmark/map-1.png
GEMAS,GEMAS,"Soil spectral library from the Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS), Europe",Europe,continental,"4,000+",,open,DOI,open,Other (Custom),first release (v1),v1.3,mir,Federal Institute for Geosciences and Natural Resources,gemas@bgr.de,https://gemas.eurogeosurveys.org/,https://doi.org/10.1016/j.apgeochem.2012.11.005,https://doi.org/10.1016/j.apgeochem.2013.09.015,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/GEMAS/README_files/figure-commonmark/map-1.png
Geocradle,Geocradle,"Soil spectral library from the Geocradle region (Balkans, Middle East, and North Africa)","Balkans, Middle East, and North Africa",regional,"1,000+",,open,DOI,open,ODbL,first release (v1),v1.3,vnir,Nikos Tsakiridis,tsakirin@auth.gr,http://datahub.geocradle.eu/dataset/regional-soil-spectral-library,https://doi.org/10.1016/j.rse.2020.111793,https://doi.org/10.1016/j.geoderma.2018.12.044,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/Geocradle/README_files/figure-commonmark/map-1.png
Martinique,MTQ,Near-infrared soil spectral library from rural areas of the Martinique island (MTQ),Martinique island,national,"<1,000",,open,DOI,open,CC-BY,version 3.1,v1.3,nir,Aurélie Cambou,aurelie.cambou@ird.fr,https://dataverse.ird.fr/dataset.xhtml?persistentId=doi:10.23708/C2TV6W,https://doi.org/10.1111/ejss.13453,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/MTQ/README_files/figure-commonmark/map-1.png
TropicalFarm,LF_BRA,Farm-scale soil spectral library from two local farms from Brazil (LF_BRA),Brazil,local,<300,,open,DOI,open,CC-BY,version 3,v1.3,vnir,Tiago Rodrigues Tavares,tiagosrt@usp.br,https://data.mendeley.com/datasets/88c5kvmgbf/1,https://doi.org/10.1016/j.dib.2022.108004,https://doi.org/10.3390/s21010148,https://doi.org/10.3390/agronomy11061028,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/LF_BRA/README_files/figure-commonmark/map-1.png
Korean,GPKOR,"Near-infrared soil spectral library from Gyeonggi Province, South Korea (GPKOR)",South Korea,national,"1,000+",,open,DOI,open,CC-BY,version 3,v1.3,nir,Gayoung Yoo,gayoo@khu.ac.kr,https://doi.org/10.6084/m9.figshare.29380574,https://doi.org/10.1038/s41597-026-06546-3,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/GPKOR/README_files/figure-commonmark/map-1.png
South-India,WS_SWIND,Soil spectral library from tropical and sub-humid Watersheds of Southwestern India (WS_SWIND),India,regional,<300,,open,DOI,open,CC-BY,version 1,v1.3,mir,Samuel Abiven,abiven@biotite.ens.fr,https://zenodo.org/records/5675793,https://doi.org/10.1016/j.geoderma.2021.115606,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/WS_SWIND/README_files/figure-commonmark/map-1.png
